id,value
root,
root.0,
root.0.194,972
root.1,
root.1.0,
root.1.0.150,1876
root.1.1,
root.1.1.0,
root.1.1.0.134,2273
root.1.1.1,
root.1.1.1.0,
root.1.1.1.0.176,2625
root.1.1.1.1,
root.1.1.1.1.0,
root.1.1.1.1.0.0,
root.1.1.1.1.0.0.0,
root.1.1.1.1.0.0.0.149,3015
root.1.1.1.1.0.0.1,
root.1.1.1.1.0.0.1.0,
root.1.1.1.1.0.0.1.0.187,3063
root.1.1.1.1.0.0.1.1,
root.1.1.1.1.0.0.1.1.0,
root.1.1.1.1.0.0.1.1.0.109,3108
root.1.1.1.1.0.0.1.1.1,
root.1.1.1.1.0.0.1.1.1.0,
root.1.1.1.1.0.0.1.1.1.0.0,
root.1.1.1.1.0.0.1.1.1.0.0.31,3155
root.1.1.1.1.0.0.1.1.1.0.1,
root.1.1.1.1.0.0.1.1.1.0.1.141,3155
root.1.1.1.1.0.0.1.1.1.1,
root.1.1.1.1.0.0.1.1.1.1.0,
root.1.1.1.1.0.0.1.1.1.1.0.202,3160
root.1.1.1.1.0.0.1.1.1.1.1,
root.1.1.1.1.0.0.1.1.1.1.1.0,
root.1.1.1.1.0.0.1.1.1.1.1.0.10,3171
root.1.1.1.1.0.0.1.1.1.1.1.1,
root.1.1.1.1.0.0.1.1.1.1.1.1.15,3171
root.1.1.1.1.0.1,
root.1.1.1.1.0.1.0,
root.1.1.1.1.0.1.0.20,3036
root.1.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.0,
root.1.1.1.1.0.1.1.0.30,3104
root.1.1.1.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.0.0.0,
root.1.1.1.1.0.1.1.1.0.0.0.27,3254
root.1.1.1.1.0.1.1.1.0.0.1,
root.1.1.1.1.0.1.1.1.0.0.1.0,
root.1.1.1.1.0.1.1.1.0.0.1.0.0,
root.1.1.1.1.0.1.1.1.0.0.1.0.0.67,3288
root.1.1.1.1.0.1.1.1.0.0.1.0.1,
root.1.1.1.1.0.1.1.1.0.0.1.0.1.209,3288
root.1.1.1.1.0.1.1.1.0.0.1.1,
root.1.1.1.1.0.1.1.1.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.0.0.1.1.0.62,3290
root.1.1.1.1.0.1.1.1.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.0.1.1.1.0.21,3306
root.1.1.1.1.0.1.1.1.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.0.1.1.1.1.148,3306
root.1.1.1.1.0.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.0.1.0.0.85,3288
root.1.1.1.1.0.1.1.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.0.1.0.1.0.143,3309
root.1.1.1.1.0.1.1.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.0.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.0.1.1.0.51,3326
root.1.1.1.1.0.1.1.1.0.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.0.1.1.1.132,3326
root.1.1.1.1.0.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.0,
